TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
Cachalots, à la rencontre des géants;Docu;France/Luxembourg;786 856,00;FR/EN;;
Cold war;Fiction;Pologne/Grande Bretagne/France;5 090 065,00;FR/EN;;
Editeur;Fiction;France;27 980,00;FR/EN;;
Fahim;Fiction;France;9 052 245,00;FR/EN;;
Kat people;Docu;Grèce/France;220 652,00;FR/EN;;
Maya;Fiction;France/Allemagne;5 124 756,00;FR/EN;;
Monsieur;Fiction;Inde/France;781 467,00;FR/EN;;
Neuilly sa mère, sa mère;Fiction;France;7 274 235,00;FR/EN;;
Positive school;Fiction;France/Maroc;1 202 014,00;FR/EN;;
Territoires;Fiction;France;4 188 650,00;FR/EN;;
A 2 heures de Paris;Fiction;France;410 029,00;FR/EN;;
Amanda;Fiction;France;3 504 629,00;FR/EN;;
Belle et la belle (La);Fiction;France;3 996 660,00;FR/EN;;
Capital au Xxe siècle (Le);Docu;France/Nouvelle-zélande;2 518 855,00;FR/EN;;
C'est ça l'amour;Fiction;France;2 955 606,00;FR/EN;;
Collier rouge (Le);Fiction;France;6 859 546,00;FR/EN;;
Fils de Garches;Docu;France;607 250,00;FR/EN;;
Jewell stone;Fiction;France;1 374 233,00;FR/EN;;
Monnaie de leur pièce (La);Fiction;France;4 810 864,00;FR/EN;;
Mort de Staline (La);Fiction;Grande Bretagne/France/Belgique;11 097 498,00;FR/EN;;
Mrs Mills;Fiction;France;6 399 772,00;FR/EN;;
Nous, Tikopia;Docu;France/Suède;318 000,00;FR/EN;;
Pachamama;Anim;France/Luxembourg/Canada;6 755 384,00;FR/EN;;
Retour du héros (Le);Fiction;France;9 702 525,00;FR/EN;;
The captain;Fiction;Allemagne/France/Pologne;4 816 481,00;FR/EN;;
Un beau soleil intérieur (ex Des lunettes noires);Fiction;France;2 978 282,00;FR/EN;;
Amant d'un jour (L');Fiction;France;2 410 929,00;FR/EN;;
Bienvenue à Marly-Gomont;Fiction;France;6 504 389,00;FR/EN;;
Georges et mavie;Fiction;France;511 864,00;FR/EN;;
Insight;Fiction;France;880 053,00;FR/EN;;
Que le diable nous emporte;Fiction;France;593 241,00;FR/EN;;
Hiver (L');Fiction;Arg/Chili/France;995 000,00;FR/EN;;
La Vita possibile;Fiction;Italie/France;2 329 487,00;FR/EN;;
Return to Montauk;Fiction;Allemagne/France/Irlande;4 947 120,00;FR/EN;;
ARBRE ET LA FORÊT (L');Fiction;France;3 488 800,00;FR/EN;;
ARTHUR ET LA VENGEANCE DE MALTAZARD;Animation;France;63 237 392,00;FR/EN;;
CHANTEUSE DE TANGO (LA);Fiction;Belgique/Argentine/Pays Bas/France;2 640 933,00;FR/EN;;
CONCERT (LE);Fiction;France/Belgique/Roumanie/Italie;13 189 567,00;FR/EN;;
DOMINATION MASCULINE (LA);Documentaire;Belgique/France;901 119,00;FR/EN;;
ENTER THE VOID (SOUDAIN LE VIDE);Fiction;France/Allemagne/Italie;12 384 847,00;FR/EN;;
HOMMES (LES);Documentaire;France;92 174,00;FR/EN;;
HUMAINS;Fiction;France/Luxembourg/Suisse;4 500 745,00;FR/EN;;
MARIAGE CHEZ LES BODIN'S;Fiction;France;94 493,00;FR/EN;;
OCÉANS;Documentaire;France;49 619 972,00;FR/EN;;
UN PROPHÈTE;Fiction;France/Italie;12 487 177,00;FR/EN;;
DELWENDE LEVE-TOI ET MARCHE;Fiction;France/Burkina Faso;667 816,00;FR/EN;;
GRAND MEAULNES (LE);Fiction;France;6 674 705,00;FR/EN;;
IVRESSE DU POUVOIR;Fiction;France/Allemagne;6 997 285,00;FR/EN;;
LIP L'IMAGINATION AU POUVOIR (LES);Documentaire;France;502 565,00;FR/EN;;
MOI VAN GOGH;Documentaire;France;1 000 380,00;FR/EN;;
MON FILS A MOI;Fiction;France;3 223 416,00;FR/EN;;
TEMPS DES PORTE-PLUMES (LE);Fiction;France;3 999 936,00;FR/EN;;
AMOUR C'EST MIEUX A DEUX (L');Fiction;France;4 966 687,00;FR/EN;;
D'UN FILM A L'AUTRE;Documentaire;France;1 319 822,00;FR/EN;;
FILS A JO (LE);Fiction;France;8 266 037,00;FR/EN;;
LA NOSTRA VITA;Fiction;Italie/France;6 200 000,00;FR/EN;;
MARIAGE A TROIS (LE);Fiction;France;2 459 004,00;FR/EN;;
Q;Fiction;France;1 105 063,00;FR/EN;;
REFUGE (LE);Fiction;France/Italie;3 119 552,00;FR/EN;;
TOUTES LES FILLES PLEURENT;Fiction;France;1 843 000,00;FR/EN;;
FRONTIÈRE DE L'AUBE (LA);Fiction;France/Italie;2 525 965,00;FR/EN;;
INCONNUE (L');Fiction;Italie/France;7 677 000,00;FR/EN;;
JE NE VOUS OUBLIERAI JAMAIS;Fiction;France/Belgique;1 063 707,00;FR/EN;;
JUSQU'A TOI;Fiction;France/Canada;3 996 354,00;FR/EN;;
NUIT CANNOISE;Fiction;France;1 912 618,00;FR/EN;;
ULZHAN;Fiction;France/Allemagne;3 414 198,00;FR/EN;;
UN BAISER S'IL VOUS PLAIT;Fiction;France;2 856 555,00;FR/EN;;
ASTÉRIX AUX JEUX OLYMPIQUES;Fiction;France/Allemagne/Espagne/Italie;78 067 897,00;FR/EN;;
ENTRE ADULTES;Fiction;France;233 972,00;FR/EN;;
GRABUGE;Fiction;France;780 800,00;FR/EN;;
POUR ALLER AU CIEL IL FAUT MOURIR;Fiction;France/Allemagne/Suisse;1 500 861,00;FR/EN;;
QUESTION HUMAINE (LA);Fiction;France;2 004 605,00;FR/EN;;
TAXI 4;Fiction;France;17 316 532,00;FR/EN;;
ALEXANDRE;Fiction;Grande Bretagne/France/Pays Bas;181 621 894,00;FR/EN;;
